ota/4448.txt	The story of Lady Juliana Harley: A novel. In letters. By Mrs. Griffith. ... [pt.2]	Griffith, Mrs. (Elizabeth), 1720?-1793.	1776	English	CC BY-SA	
ota/4447.txt	The story of Lady Juliana Harley: A novel. In letters. By Mrs. Griffith. ... [pt.1]	Griffith, Mrs. (Elizabeth), 1720?-1793.	1776	English	CC BY-SA	
ota/4384.txt	Charles and Charlotte: In two volumes. [pt.2]	Pratt, Mr. (Samuel Jackson), 1749-1814.	1777	English	CC BY-SA	
ota/4383.txt	Charles and Charlotte: In two volumes. [pt.1]	Pratt, Mr. (Samuel Jackson), 1749-1814.	1777	English	CC BY-SA	
ota/4816.txt	Learning at a loss, or the amours of Mr. Pedant and Miss Hartley. A novel. In two volumes.: [pt.2]	Way, G. L. (Gregory Lewis), d. 1799.	1778	English	CC BY-SA	
ota/4815.txt	Learning at a loss, or the amours of Mr. Pedant and Miss Hartley. A novel. In two volumes.: [pt.1]	Way, G. L. (Gregory Lewis), d. 1799.	1778	English	CC BY-SA	
ota/3445.txt	The tutor of truth: By the author of The pupil of pleasure, ... [pt.2]	Pratt, Mr. (Samuel Jackson), 1749-1814.	1779	English	CC BY-SA	
ota/3444.txt	The tutor of truth: By the author of The pupil of pleasure, ... [pt.1]	Pratt, Mr. (Samuel Jackson), 1749-1814.	1779	English	CC BY-SA	
ota/3756.txt	Alwyn: or the gentleman comedian. In two volumes. ...: [pt.2]	Holcroft, Thomas, 1745-1809.	1780	English	CC BY-SA	
ota/3755.txt	Alwyn: or the gentleman comedian. In two volumes. ...: [pt.1]	Holcroft, Thomas, 1745-1809.	1780	English	CC BY-SA	
ota/3373.txt	Emma Corbett: or, the miseries of civil war. Founded on some recent circumstances which happened in America. By the author of Liberal opinions, Pupil of pleasure, Shenstone Green, &c. ... [pt.3]	Pratt, Mr. (Samuel Jackson), 1749-1814.	1780	English	CC BY-SA	
ota/3372.txt	Emma Corbett: or, the miseries of civil war. Founded on some recent circumstances which happened in America. By the author of Liberal opinions, Pupil of pleasure, Shenstone Green, &c. ... [pt.2]	Pratt, Mr. (Samuel Jackson), 1749-1814.	1780	English	CC BY-SA	
ota/3371.txt	Emma Corbett: or, the miseries of civil war. Founded on some recent circumstances which happened in America. By the author of Liberal opinions, Pupil of pleasure, Shenstone Green, &c. ... [pt.1]	Pratt, Mr. (Samuel Jackson), 1749-1814.	1780	English	CC BY-SA	
ota/4870.txt	Cecilia: or memoirs of an heiress. By the author of Evelina. In five volumes. ... [pt.5]	Burney, Fanny, 1752-1840.	1782	English	CC BY-SA	
ota/4869.txt	Cecilia: or memoirs of an heiress. By the author of Evelina. In five volumes. ... [pt.4]	Burney, Fanny, 1752-1840.	1782	English	CC BY-SA	
ota/4868.txt	Cecilia: or memoirs of an heiress. By the author of Evelina. In five volumes. ... [pt.3]	Burney, Fanny, 1752-1840.	1782	English	CC BY-SA	
ota/4867.txt	Cecilia: or memoirs of an heiress. By the author of Evelina. In five volumes. ... [pt.2]	Burney, Fanny, 1752-1840.	1782	English	CC BY-SA	
ota/4866.txt	Cecilia: or memoirs of an heiress. By the author of Evelina. In five volumes. ... [pt.1]	Burney, Fanny, 1752-1840.	1782	English	CC BY-SA	
ota/4668.txt	Edwin and Eltruda: A legendary tale. By a young lady.	Williams, Helen Maria, 1762-1827.	1782	English	CC BY-SA	
ota/4945.txt	The recess: or, a tale of other times. By the author of The chapter of accidents. [pt.3]	Lee, Sophia, 1750-1824.	1785	English	CC BY-SA	
ota/4944.txt	The recess: or, a tale of other times. By the author of The chapter of accidents. [pt.2]	Lee, Sophia, 1750-1824.	1785	English	CC BY-SA	
ota/4943.txt	The recess: or, a tale of other times. By the author of The chapter of accidents. [pt.1]	Lee, Sophia, 1750-1824.	1785	English	CC BY-SA	
ota/4860.txt	The two connoisseurs; a comedy, in rhyme. Written for a private theatre, by William Hayley, Esq	Hayley, William, 1745-1820.	1785	English	CC BY-SA	
ota/4824.txt	Modern times: or the adventures of Gabriel Outcast. Supposed to be written by himself. In imitation of Gil Blas. ... [pt.3]	Trusler, John, 1735-1820.	1785	English	CC BY-SA	
ota/4823.txt	Modern times: or the adventures of Gabriel Outcast. Supposed to be written by himself. In imitation of Gil Blas. ... [pt.2]	Trusler, John, 1735-1820.	1785	English	CC BY-SA	
ota/4822.txt	Modern times: or the adventures of Gabriel Outcast. Supposed to be written by himself. In imitation of Gil Blas. ... [pt.1]	Trusler, John, 1735-1820.	1785	English	CC BY-SA	
ota/5632.txt	The adventures of Anthony Varnish: or, a peep at the manners of society. By an adept. In three volumes. ... [pt.3]	Johnstone, Charles, 1719?-1800?	1786	eng	CC BY-SA	
ota/5631.txt	The adventures of Anthony Varnish: or, a peep at the manners of society. By an adept. In three volumes. ... [pt.2]	Johnstone, Charles, 1719?-1800?	1786	eng	CC BY-SA	
ota/5630.txt	The adventures of Anthony Varnish: or, a peep at the manners of society. By an adept. In three volumes. ... [pt.1]	Johnstone, Charles, 1719?-1800?	1786	eng	CC BY-SA	
ota/5497.txt	Appearance is against them: in a series of letters, in three volumes, by the author of Emily Herbert, or perfidy punished. ... [pt.3]	Inchbald, Mrs., 1753-1821.	1786	English	CC BY-SA	
ota/5496.txt	Appearance is against them: in a series of letters, in three volumes, by the author of Emily Herbert, or perfidy punished. ... [pt.2]	Inchbald, Mrs., 1753-1821.	1786	English	CC BY-SA	
ota/5495.txt	Appearance is against them: in a series of letters, in three volumes, by the author of Emily Herbert, or perfidy punished. ... [pt.1]	Inchbald, Mrs., 1753-1821.	1786	English	CC BY-SA	
ota/4904.txt	Emily Herbert: or, perfidy punished. A novel. In a series of letters.	Inchbald, Mrs., 1753-1821.	1787	English	CC BY-SA	
ota/3764.txt	Arundel: By the author of The observer. ... [pt.2]	Cumberland, Richard, 1732-1811.	1789	English	CC BY-SA	
ota/3763.txt	Arundel: By the author of The observer. ... [pt.1]	Cumberland, Richard, 1732-1811.	1789	English	CC BY-SA	
ota/5124.txt	The young widow; or the history of Cornelia Sedley: in a series of letters. ... [pt.2]	Hayley, William, 1745-1820.	1789	English	CC BY-SA	
ota/5123.txt	The young widow; or the history of Cornelia Sedley: in a series of letters. ... [pt.1]	Hayley, William, 1745-1820.	1789	English	CC BY-SA	
ota/5664.txt	The fair Hibernian: In two volumes. ... [pt.2]	(unknown)	1789	eng	CC BY-SA	
ota/5663.txt	The fair Hibernian: In two volumes. ... [pt.1]	(unknown)	1789	eng	CC BY-SA	
ota/4580.txt	Euphemia. By Mrs. Charlotte Lennox. In four volumes.: [pt.3]	Lennox, Charlotte, ca. 1729-1804.	1790	English	CC BY-SA	
ota/4579.txt	Euphemia. By Mrs. Charlotte Lennox. In four volumes.: [pt.2]	Lennox, Charlotte, ca. 1729-1804.	1790	English	CC BY-SA	
ota/4578.txt	Euphemia. By Mrs. Charlotte Lennox. In four volumes.: [pt.1]	Lennox, Charlotte, ca. 1729-1804.	1790	English	CC BY-SA	
ota/4504.txt	Julia, a novel; interspersed with some poetical pieces. By Helen Maria Williams. In two volumes.: [pt.2]	Williams, Helen Maria, 1762-1827.	1790	English	CC BY-SA	
ota/4503.txt	Julia, a novel; interspersed with some poetical pieces. By Helen Maria Williams. In two volumes.: [pt.1]	Williams, Helen Maria, 1762-1827.	1790	English	CC BY-SA	
ota/5266.txt	Hermione, or the orphan sisters: A novel. In four volumes. ... [pt.4]	Lennox, Charlotte, ca. 1729-1804.	1791	English	CC BY-SA	
ota/5265.txt	Hermione, or the orphan sisters: A novel. In four volumes. ... [pt.3]	Lennox, Charlotte, ca. 1729-1804.	1791	English	CC BY-SA	
ota/5264.txt	Hermione, or the orphan sisters: A novel. In four volumes. ... [pt.2]	Lennox, Charlotte, ca. 1729-1804.	1791	English	CC BY-SA	
ota/5263.txt	Hermione, or the orphan sisters: A novel. In four volumes. ... [pt.1]	Lennox, Charlotte, ca. 1729-1804.	1791	English	CC BY-SA	
ota/5189.txt	A simple story: In four volumes. By Mrs. Inchbald. [pt.4]	Inchbald, Mrs., 1753-1821.	1791	English	CC BY-SA	
ota/5188.txt	A simple story: In four volumes. By Mrs. Inchbald. [pt.3]	Inchbald, Mrs., 1753-1821.	1791	English	CC BY-SA	
ota/5187.txt	A simple story: In four volumes. By Mrs. Inchbald. [pt.2]	Inchbald, Mrs., 1753-1821.	1791	English	CC BY-SA	
